JDE,fun_rastrigin,1000,47.49627465456474,4.3457294275631835
SADE,fun_rastrigin,1000,28.116569263369055,3.607564200029102
JADE,fun_rastrigin,1000,5.669792249349825e-06,3.129783568411521e-06
SHADE,fun_rastrigin,1000,0.0015887578848149176,0.000745663946991552
CODE,fun_rastrigin,1000,14.739218342685694,1.5033378657187102
JDE,fun_ackley,200,-4.440892098500626e-16,0.0
SADE,fun_ackley,200,-4.440892098500626e-16,0.0
JADE,fun_ackley,200,-4.440892098500626e-16,0.0
SHADE,fun_ackley,200,-4.440892098500626e-16,0.0
CODE,fun_ackley,200,-4.440892098500626e-16,0.0
JDE,fun_sphere,1000,8.286562552371184e-12,6.073130172649626e-12
SADE,fun_sphere,1000,1.3287921300426953e-05,9.301544910253307e-05
JADE,fun_sphere,1000,7.138727752338604e-38,2.115395661768125e-37
SHADE,fun_sphere,1000,5.6840976022655795e-43,1.6746258747514224e-42
CODE,fun_sphere,1000,0.003528437922035491,0.0008323130555098952
JDE,fun_rosenbrock,2000,25.665757689549,21.019943400620008
SADE,fun_rosenbrock,2000,27.778061295691423,24.970823384802195
JADE,fun_rosenbrock,2000,3.8422713047029835,13.080044653084371
SHADE,fun_rosenbrock,2000,0.15946629379236782,0.7812152657644154
CODE,fun_rosenbrock,2000,47.58566065400035,15.787231548794157
JDE,fun_beale,100,4.356335686568095e-12,9.872871959340308e-12
SADE,fun_beale,100,7.330775860950731e-17,3.392884354372909e-16
JADE,fun_beale,100,9.31729916024394e-15,4.6131362266786576e-14
SHADE,fun_beale,100,1.8951207109197615e-15,2.5885103998802023e-15
CODE,fun_beale,100,1.0441988793869929e-13,1.6236572696170676e-13
JDE,fun_goldstein_price,100,2.9999999999999263,3.563798615811266e-15
SADE,fun_goldstein_price,100,2.9999999999999263,4.684667585138624e-15
JADE,fun_goldstein_price,100,2.9999999999999263,3.632856031326803e-15
SHADE,fun_goldstein_price,100,2.999999999999925,2.2026108523997657e-15
CODE,fun_goldstein_price,100,2.9999999999999387,9.789724785472813e-15
JDE,fun_booth,100,1.2626638344690536e-13,2.741825143101284e-13
SADE,fun_booth,100,2.7019053069874504e-18,6.236777582778385e-18
JADE,fun_booth,100,1.3606624760354267e-16,1.8018433254490483e-16
SHADE,fun_booth,100,3.671945866610388e-17,7.935867243898938e-17
CODE,fun_booth,100,8.88392586302651e-16,1.0820179036746513e-15
JDE,fun_bukin_n6,200,0.06902019582139873,0.062365071367383736
SADE,fun_bukin_n6,200,0.10838998129673398,0.052684674647389323
JADE,fun_bukin_n6,200,0.07486051670495134,0.054708150161284705
SHADE,fun_bukin_n6,200,0.11594025156843932,0.058273626750725165
CODE,fun_bukin_n6,200,0.17456564352936738,0.09404495525152798
JDE,fun_matyas,100,4.640984895779525e-13,8.455180226443532e-13
SADE,fun_matyas,100,3.3260815883530044e-20,6.244460657119084e-20
JADE,fun_matyas,100,6.211295136671579e-17,8.686606080356962e-17
SHADE,fun_matyas,100,1.634159190722002e-17,1.965733470592276e-17
CODE,fun_matyas,100,6.2201060195093685e-16,7.283054989880713e-16
JDE,fun_levi_n13,100,3.369686653747678e-22,9.241200985910295e-22
SADE,fun_levi_n13,100,7.010219170791331e-21,8.904571871616151e-21
JADE,fun_levi_n13,100,8.945348306006663e-18,1.9402545251632885e-17
SHADE,fun_levi_n13,100,7.872019032300925e-19,8.950513204237674e-19
CODE,fun_levi_n13,100,2.431971041837386e-18,3.5968838123886635e-18
JDE,fun_himmelblau,100,1.0365449483741308e-06,3.481711235166315e-06
SADE,fun_himmelblau,100,3.455688535822016e-05,0.00012986166925015727
JADE,fun_himmelblau,100,6.028398383566603e-07,2.4734043346245468e-06
SHADE,fun_himmelblau,100,1.554440324502717e-06,9.08731394715434e-06
CODE,fun_himmelblau,100,1.1647394302549889e-05,2.095605950999683e-05
JDE,fun_three_hump_camel,100,2.2663139889243535e-20,5.187769283074973e-20
SADE,fun_three_hump_camel,100,5.004617460330264e-21,9.084619088465065e-21
JADE,fun_three_hump_camel,100,1.9293414832110893e-19,4.854455528625473e-19
SHADE,fun_three_hump_camel,100,3.067854882565923e-20,3.610732929991079e-20
CODE,fun_three_hump_camel,100,8.069917940224788e-19,1.0304949742755166e-18
JDE,fun_easom,100,-0.9999999999957672,1.5122956300156853e-11
SADE,fun_easom,100,-0.9999999997561139,1.568178900058158e-09
JADE,fun_easom,100,-0.9999999999978253,5.91323488918554e-12
SHADE,fun_easom,100,-0.9999999999730471,6.757473576020679e-11
CODE,fun_easom,100,-0.9999999998599735,8.055359321211418e-10
SADE,fun_cross_in_tray,100,-2.062611870775679,9.526357168814374e-11
JADE,fun_cross_in_tray,100,-2.0626118705716703,3.581437374668809e-10
SHADE,fun_cross_in_tray,100,-2.06261187039641,4.697803459394866e-10
CODE,fun_cross_in_tray,100,-2.0626118708209384,2.1154596477972683e-12
SADE,fun_eggholder,100,-959.6402439239173,0.001341811921416602
JADE,fun_eggholder,100,-954.125274027027,17.570535688201993
SHADE,fun_eggholder,100,-955.5144339778468,13.300620267226854
CODE,fun_eggholder,100,-959.6406627208509,1.1368683772161603e-13
SADE,fun_holder_table,100,-19.208502567839925,1.1213201032981088e-10
JADE,fun_holder_table,100,-19.208502567639407,9.513949875128642e-10
SHADE,fun_holder_table,100,-19.20850181159993,5.171019369227351e-06
CODE,fun_holder_table,100,-19.208502567886637,1.2633781530638478e-13
SADE,fun_mccormick,100,-1.913222954981037,2.220446049250313e-16
JADE,fun_mccormick,100,-1.913222954981037,2.220446049250313e-16
